city,date,temperature,humidity,pressure,precipitation,wind_speed
Chennai,2026-07-01 00:00:00,31.1,55,1005.8,0.0,17.8
Chennai,2026-07-01 01:00:00,30.5,56,1005.3,0.0,17.4
Chennai,2026-07-01 02:00:00,29.9,57,1005.0,0.0,18.1
Chennai,2026-07-01 03:00:00,29.5,58,1004.9,0.0,16.8
Chennai,2026-07-01 04:00:00,29.1,59,1005.0,0.0,16.4
Chennai,2026-07-01 05:00:00,28.7,64,1005.2,0.0,14.5
Chennai,2026-07-01 06:00:00,28.7,64,1005.9,0.0,14.6
Chennai,2026-07-01 07:00:00,29.4,63,1006.4,0.0,13.6
Chennai,2026-07-01 08:00:00,30.5,60,1006.6,0.0,15.3
Chennai,2026-07-01 09:00:00,31.6,56,1006.7,0.0,18.1
Chennai,2026-07-01 10:00:00,32.2,55,1006.3,0.0,19.2
Chennai,2026-07-01 11:00:00,32.9,53,1005.8,0.0,19.9
Chennai,2026-07-01 12:00:00,32.9,54,1005.4,0.0,19.6
Chennai,2026-07-01 13:00:00,33.5,54,1004.4,0.0,17.0
Chennai,2026-07-01 14:00:00,35.5,47,1003.2,0.0,14.4
Chennai,2026-07-01 15:00:00,35.0,44,1002.8,0.2,17.1
Chennai,2026-07-01 16:00:00,34.9,43,1002.7,0.0,19.7
Chennai,2026-07-01 17:00:00,34.0,44,1002.7,0.1,18.1
Chennai,2026-07-01 18:00:00,34.4,41,1003.3,0.0,12.1
Chennai,2026-07-01 19:00:00,33.2,45,1004.1,0.0,15.4
Chennai,2026-07-01 20:00:00,32.3,47,1005.2,0.0,18.3
Chennai,2026-07-01 21:00:00,31.5,51,1006.2,0.0,19.0
Chennai,2026-07-01 22:00:00,31.1,53,1006.9,0.0,21.7
Chennai,2026-07-01 23:00:00,31.5,52,1006.2,0.0,19.9
Chennai,2026-07-02 00:00:00,30.7,54,1006.0,0.0,15.1
Chennai,2026-07-02 01:00:00,31.3,51,1005.6,0.0,18.6
Chennai,2026-07-02 02:00:00,31.0,51,1005.2,0.0,16.2
Chennai,2026-07-02 03:00:00,30.6,52,1005.1,0.0,15.1
Chennai,2026-07-02 04:00:00,30.1,54,1004.9,0.0,15.3
Chennai,2026-07-02 05:00:00,29.6,59,1005.1,0.0,16.3
Chennai,2026-07-02 06:00:00,29.7,59,1005.7,0.0,16.8
Chennai,2026-07-02 07:00:00,30.5,57,1005.8,0.0,14.4
Chennai,2026-07-02 08:00:00,32.0,53,1006.1,0.0,17.8
Chennai,2026-07-02 09:00:00,33.2,50,1006.3,0.0,18.4
Chennai,2026-07-02 10:00:00,34.4,47,1005.7,0.0,16.0
Chennai,2026-07-02 11:00:00,34.6,47,1005.8,0.0,14.8
Chennai,2026-07-02 12:00:00,35.1,46,1005.5,0.0,16.6
Chennai,2026-07-02 13:00:00,34.7,46,1004.4,0.0,13.5
Chennai,2026-07-02 14:00:00,35.2,45,1003.4,0.0,14.1
Chennai,2026-07-02 15:00:00,35.3,45,1003.0,0.0,7.3
Chennai,2026-07-02 16:00:00,34.6,46,1002.9,0.0,12.4
Chennai,2026-07-02 17:00:00,35.4,43,1003.0,0.0,13.5
Chennai,2026-07-02 18:00:00,35.4,42,1003.6,0.0,9.4
Chennai,2026-07-02 19:00:00,34.5,45,1004.4,0.0,5.7
Chennai,2026-07-02 20:00:00,34.0,47,1005.4,0.0,8.5
Chennai,2026-07-02 21:00:00,33.7,47,1005.9,0.0,12.3
Chennai,2026-07-02 22:00:00,33.1,48,1006.6,0.0,17.7
Chennai,2026-07-02 23:00:00,32.8,50,1006.3,0.1,16.1
Chennai,2026-07-03 00:00:00,32.3,52,1005.8,0.0,15.2
Chennai,2026-07-03 01:00:00,31.9,52,1005.7,0.0,16.2
Chennai,2026-07-03 02:00:00,31.2,53,1005.3,0.0,15.5
